OBJECTID,Neighborhood,Tax_ID,Address,Owner_Agency,Acquisition_Date,Purchase_Price,Funding_Source,CONDEMNED,RESTRICTIONS,Current_Use,Sq_Footage,Mowable_Sq_Footage,Zoning,Deed_Book,Deed_Page,Property_Description,Notes,Neighborhood_Plan,Available_For_Sale,Disposotion_Date,ORIG_FID,More_Details,GlobalID,SHAPE
52,Willow Oaks,0013461,807 Willow Hope Pl,Redevelopment Commission of Greensboro,Null,Null,108,No,Yes,Vacant Lot,4939.492914,4927,TN,005453,00928,39 ZONE C SH1 PB 169-132 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,57,Null,{2E7DD758-7D5C-4C6A-9C06-3416AD97CC3A},Point
53,Willow Oaks,0013460,805 Willow Hope Pl,Redevelopment Commission of Greensboro,Null,Null,108,No,Yes,Vacant Lot,4686.134061,4651,TN,005453,00928,40 ZONE C SH1 PB 169-132 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,58,Null,{A95934E8-C5BA-4CB3-9B5D-16514794FCC8},Point
54,Willow Oaks,0013459,803 Willow Hope Pl,Redevelopment Commission of Greensboro,Null,Null,108,No,Yes,Vacant Lot,4345.638867,4317,TN,005453,00928,41 ZONE C SH1 PB 169-132 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,59,Null,{CDEE928F-A529-4AFF-8850-8CC5FF7D4854},Point
55,Willow Oaks,0013458,801 Willow Hope Pl,Redevelopment Commission of Greensboro,Null,Null,108,No,Yes,Vacant Lot,8228.12928,4317,TN,005453,00928,42 ZONE C SH1 PB 169-132 WILLOW OAKS,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,60,Null,{6C7AFDD2-7E53-4CBE-8945-A97695E2F198},Point
56,Willow Oaks,0020233,213 S. English St,Redevelopment Commission of Greensboro,7/10/2001,306000,HOME,No,Yes,Vacant Lot,30180.07911,32475,RM-18,005265,00154,213 S ENGLISH ST,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,61,Null,{E971429D-07CA-4416-B864-909760F801E8},Point
57,Willow Oaks,0020234,215 S. English St,Redevelopment Commission of Greensboro,9/20/2002,10000,HOME,No,Yes,Vacant Lot,7742.431218,8043,RM-18,005614,00027,PB3-4 S ENGLISH ST,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,62,Null,{1E3AE8B6-84C7-4BB3-AE2B-6267BF77786D},Point
58,Willow Oaks,0020235,217 S. English St,Redevelopment Commission of Greensboro,9/20/2002,16000,HOME,No,Yes,Vacant Lot,15513.672142,16250,RM-18,005614,00024,217 S ENGLISH ST PB 3-4,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,63,Null,{9F8D08E7-729C-446D-B1D5-C6503571AF7B},Point
59,Willow Oaks,0020236,219 S. English St,Redevelopment Commission of Greensboro,12/2/2003,18000,108,Yes,Yes,Vacant Lot,19475.319422,19567,RM-18,005995,02562,1 PB3-4 YOUNG &2003CVS8107,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,64,Null,{53DEB0D0-CC4F-4EB5-92CA-10B977C7AFBD},Point
60,Willow Oaks,0020215,222 S. English St,Redevelopment Commission of Greensboro,9/4/2002,37500,HOME,No,Yes,Vacant Lot,10822.952279,11250,RM-18,005600,01342,10 B2 PB3-4 JOHN A YOUNG,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,65,Null,{9CA9A153-56FF-4D92-9D11-55B0411727B8},Point
61,Willow Oaks,0020216,224 S. English St,Redevelopment Commission of Greensboro,9/4/2002,10000,HOME,No,Yes,Vacant Lot,10827.77005,11250,RM-18,005600,01342,11 B2 PB3-4 JOHN A YOUNG,Null,https://www.greensboro-nc.gov/Home/ShowDocument?id=34370,Yes,Null,66,Null,{342B78FC-FD7E-4BC7-AC48-99126393F6A2},Point
